Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
88	DeMarre Carroll\carrode01	C	33	HOU	9	0	17.2	1.8	4.1	0.432	0.6	2.2	0.25	1.2	1.9	0.647	0.5	1.9	2.4	0.773	0.6	2.1	2.7	1.6	0.7	0.3	0.8	1.3	6
89	Jevon Carter\carteje01	PG	24	PHO	58	2	16.3	1.7	4.2	0.416	1.1	2.5	0.425	0.7	1.7	0.402	0.543	0.4	0.5	0.852	0.5	1.5	2	1.4	0.8	0.3	0.6	1.5	4.9
90	Vince Carter\cartevi01	PF	43	ATL	60	0	14.6	1.8	5.1	0.352	1	3.4	0.302	0.8	1.7	0.451	0.452	0.4	0.5	0.793	0.3	1.8	2.1	0.8	0.4	0.4	0.6	1.5	5
91	Wendell Carter Jr.\cartewe01	C	20	CHI	43	43	29.2	4.3	8	0.534	0.1	0.7	0.207	4.1	7.3	0.564	0.542	2.6	3.5	0.737	3.2	6.2	9.4	1.2	0.8	0.8	1.7	3.8	11.3
92	Michael Carter-Williams\cartemi01	SG	28	ORL	45	0	18.5	2.5	5.8	0.427	0.5	1.7	0.293	2	4.1	0.481	0.469	1.8	2.1	0.832	1	2.2	3.3	2.4	1.1	0.5	1.2	1.9	7.2
93	Alex Caruso\carusal01	PG	25	LAL	64	2	18.4	1.9	4.5	0.412	0.6	1.9	0.333	1.3	2.7	0.468	0.481	1.1	1.5	0.734	0.3	1.7	1.9	1.9	1.1	0.3	0.8	1.5	5.5
94	Willie Cauley-Stein\caulewi01	C	26	TOT	54	39	20.3	3.2	5.6	0.579	0	0	0	3.2	5.6	0.581	0.579	0.7	1.2	0.606	1.6	4.3	5.8	1.3	0.9	1.1	0.7	2.2	7.2
94	Willie Cauley-Stein\caulewi01	C	26	GSW	41	37	22.9	3.5	6.3	0.56	0	0		3.5	6.3	0.56	0.56	0.9	1.4	0.614	1.7	4.5	6.2	1.5	1.1	1.2	0.9	2.5	7.9
94	Willie Cauley-Stein\caulewi01	C	26	DAL	13	2	12.1	2.4	3.5	0.689	0	0.1	0	2.4	3.4	0.705	0.689	0.4	0.7	0.556	1	3.6	4.6	0.8	0.3	0.8	0.4	1.5	5.2
95	Tyson Chandler\chandty01	C	37	HOU	26	5	8.4	0.5	0.7	0.778	0	0		0.5	0.7	0.778	0.778	0.2	0.5	0.462	1	1.6	2.5	0.2	0.2	0.3	0.3	1.2	1.3
96	Wilson Chandler\chandwi01	PF	32	BRK	35	3	21	2.1	5.2	0.404	1.1	3.5	0.306	1.1	1.8	0.597	0.505	0.6	0.7	0.87	0.3	3.8	4.1	1.1	0.5	0.3	1	2.3	5.9
97	Joe Chealey\chealjo01	PG	24	CHO	4	0	8.3	0	1.8	0	0	1	0	0	0.8	0	0	0.5	0.5	1	0	0	0	0.3	1	0	0.5	0.5	0.5
98	Zylan Cheatham\cheatzy01	PF	24	NOP	4	0	12.8	1.5	2.3	0.667	0	0.3	0	1.5	2	0.75	0.667	0	0		0.8	1.5	2.3	0.8	0.3	0.3	1	2.5	3
99	Chris Chiozza\chiozch01	PG	24	TOT	28	2	14.3	2	5	0.393	1	2.6	0.375	1	2.4	0.412	0.489	0.2	0.2	1	0.3	1.6	1.9	3	0.8	0.1	1.1	1.3	5.1
99	Chris Chiozza\chiozch01	PG	24	WAS	10	0	12.3	1	3.4	0.294	0.7	1.6	0.438	0.3	1.8	0.167	0.397	0	0		0	1.5	1.5	2.8	1	0.2	0.9	1.2	2.7
99	Chris Chiozza\chiozch01	PG	24	BRK	18	2	15.4	2.5	5.9	0.425	1.1	3.1	0.357	1.4	2.8	0.5	0.519	0.3	0.3	1	0.5	1.6	2.1	3.1	0.6	0.1	1.3	1.4	6.4
100	Marquese Chriss\chrisma01	PF	22	GSW	59	21	20.3	3.6	6.5	0.545	0.1	0.7	0.205	3.4	5.9	0.584	0.556	2	2.6	0.769	1.9	4.3	6.2	1.9	0.7	1.1	1.3	2.1	9.3
101	Gary Clark\clarkga01	SF-PF	25	TOT	42	5	13.5	1.3	3.2	0.406	0.9	2.6	0.351	0.4	0.5	0.682	0.553	0.2	0.2	0.9	0.9	1.7	2.6	0.4	0.1	0.5	0.2	1.1	3.7
101	Gary Clark\clarkga01	PF	25	HOU	18	0	11.8	1.3	3.3	0.39	1	2.8	0.353	0.3	0.4	0.625	0.542	0.3	0.4	0.857	0.6	1.6	2.2	0.7	0.1	0.4	0.1	1.2	3.9
101	Gary Clark\clarkga01	SF	25	ORL	24	5	14.8	1.3	3.1	0.419	0.9	2.5	0.35	0.4	0.6	0.714	0.561	0.1	0.1	1	1.1	1.8	2.9	0.2	0.2	0.6	0.3	1	3.6
102	Brandon Clarke\clarkbr01	PF	23	MEM	58	4	22.4	5.1	8.3	0.618	0.4	1.1	0.359	4.7	7.2	0.658	0.642	1.5	1.9	0.759	1.6	4.4	5.9	1.4	0.6	0.8	0.9	1.7	12.1
103	Jordan Clarkson\clarkjo01	SG	27	TOT	71	2	24	5.5	12.2	0.454	2.1	5.8	0.368	3.4	6.4	0.533	0.542	1.9	2.3	0.836	0.7	1.9	2.6	1.9	0.6	0.2	1.4	1.5	15.2
103	Jordan Clarkson\clarkjo01	SG	27	CLE	29	0	23	5	11.2	0.442	2	5.5	0.371	2.9	5.8	0.509	0.532	2.6	3	0.884	0.7	1.7	2.4	2.4	0.6	0.3	1.3	1.1	14.6
103	Jordan Clarkson\clarkjo01	SG	27	UTA	42	2	24.7	6	12.9	0.462	2.2	6	0.366	3.7	6.8	0.547	0.548	1.5	1.9	0.785	0.7	2.1	2.8	1.6	0.7	0.2	1.4	1.8	15.6
104	Nicolas Claxton\claxtni01	C	20	BRK	15	0	12.5	1.8	3.2	0.563	0.1	0.5	0.143	1.7	2.7	0.634	0.573	0.7	1.4	0.524	1.3	1.7	2.9	1.1	0.1	0.5	0.6	0.9	4.4
105	Chris Clemons\clemoch01	SG	22	HOU	33	0	8.8	1.7	4.3	0.401	1.1	3.2	0.346	0.6	1.1	0.571	0.532	0.3	0.3	0.909	0.1	0.8	0.9	0.8	0.3	0.2	0.6	0.8	4.9
106	Antonius Cleveland\clevean01	SG	25	DAL	11	0	4.2	0.4	1.3	0.286	0	0.3	0	0.4	1	0.364	0.286	0.3	0.5	0.6	0.2	0.5	0.6	0.1	0.1	0.3	0.2	0.7	1
107	Amir Coffey\coffeam01	SG	22	LAC	18	1	8.8	1.3	3	0.426	0.3	1.1	0.316	0.9	1.9	0.486	0.481	0.3	0.6	0.545	0.2	0.7	0.9	0.8	0.3	0.1	0.4	1.1	3.2
108	John Collins\collijo01	PF	22	ATL	41	41	33.2	8.6	14.8	0.583	1.4	3.6	0.401	7.2	11.2	0.642	0.632	2.9	3.7	0.8	2.8	7.3	10.1	1.5	0.8	1.6	1.8	3.4	21.6
109	Zach Collins\colliza01	PF	22	POR	11	11	26.4	2.9	6.2	0.471	0.6	1.7	0.368	2.3	4.5	0.51	0.522	0.5	0.7	0.75	2.3	4	6.3	1.5	0.5	0.5	1.3	3.3	7
110	Mike Conley\conlemi01	PG	32	UTA	47	41	29	4.9	12.1	0.409	2	5.4	0.375	2.9	6.6	0.437	0.494	2.4	3	0.827	0.7	2.5	3.2	4.4	0.8	0.1	2	2.2	14.4
111	Pat Connaughton\connapa01	SG	27	MIL	67	4	18.6	2	4.5	0.455	0.8	2.5	0.331	1.2	2	0.607	0.547	0.5	0.6	0.775	0.9	3.3	4.2	1.6	0.4	0.5	0.8	1	5.4
112	Quinn Cook\cookqu01	PG	26	LAL	44	1	11.5	2.1	4.9	0.425	0.7	1.9	0.365	1.4	2.9	0.465	0.498	0.3	0.3	0.786	0.3	0.9	1.2	1.1	0.3	0	0.8	0.6	5.1
113	Tyler Cook\cookty01	PF-SF	22	TOT	13	0	4.2	0.6	0.9	0.667	0	0		0.6	0.9	0.667	0.667	0.5	0.6	0.875	0.5	0.6	1.1	0.1	0.2	0	0.2	0.4	1.8
113	Tyler Cook\cookty01	PF	22	CLE	11	0	3.2	0.6	0.9	0.7	0	0		0.6	0.9	0.7	0.7	0.5	0.5	0.833	0.4	0.5	0.9	0.1	0.1	0	0.1	0.4	1.7
113	Tyler Cook\cookty01	SF	22	DEN	2	0	9.5	0.5	1	0.5	0	0		0.5	1	0.5	0.5	1	1	1	1	1	2	0	1	0	1	0.5	2
114	Robert Covington\covinro01	PF-C	29	TOT	70	68	30.5	4.4	10.3	0.422	2.3	6.9	0.335	2.1	3.5	0.593	0.533	1.4	1.8	0.798	0.9	5.7	6.6	1.3	1.6	1.3	1.5	3.1	12.4
114	Robert Covington\covinro01	PF	29	MIN	48	47	29.4	4.5	10.3	0.435	2.3	6.5	0.346	2.3	3.8	0.587	0.544	1.6	2	0.798	0.8	5.2	6	1.2	1.7	0.9	1.5	3.1	12.8
114	Robert Covington\covinro01	C	29	HOU	22	21	33	4	10.3	0.392	2.4	7.6	0.315	1.6	2.7	0.61	0.509	1.1	1.4	0.8	1.2	6.8	8	1.5	1.6	2.2	1.4	3.3	11.6
115	Allen Crabbe\crabbal01	SG-SF	27	TOT	37	1	17.6	1.7	4.8	0.356	1	3.2	0.303	0.7	1.6	0.466	0.458	0.3	0.4	0.714	0.3	1.8	2.1	0.9	0.4	0.1	0.5	1.3	4.6
115	Allen Crabbe\crabbal01	SG	27	ATL	28	1	18.6	1.9	5.1	0.364	1.1	3.3	0.323	0.8	1.8	0.44	0.469	0.3	0.4	0.75	0.4	2	2.3	1	0.5	0.1	0.4	1.3	5.1
115	Allen Crabbe\crabbal01	SF	27	MIN	9	0	14.6	1.2	3.8	0.324	0.7	2.9	0.231	0.6	0.9	0.625	0.412	0.1	0.2	0.5	0.1	1.2	1.3	0.6	0	0	0.6	1.2	3.2
116	Torrey Craig\craigto01	SF	29	DEN	58	27	18.5	2.1	4.6	0.461	0.8	2.4	0.326	1.4	2.3	0.603	0.545	0.4	0.6	0.611	1.1	2.2	3.3	0.8	0.4	0.6	0.4	2.3	5.4
117	Jamal Crawford\crawfja01	SG	39	BRK	1	0	6	2	4	0.5	1	2	0.5	1	2	0.5	0.625	0	0		0	0	0	3	0	0	0	1	5
118	Jae Crowder\crowdja01	SF-PF	29	TOT	65	53	28.8	3.5	8.7	0.401	2.1	6.1	0.343	1.4	2.6	0.538	0.521	1.5	1.9	0.776	0.8	5.1	5.9	2.5	1.1	0.4	1.1	2.2	10.5
118	Jae Crowder\crowdja01	SF	29	MEM	45	45	29.4	3.3	8.9	0.368	1.7	5.9	0.293	1.5	3	0.519	0.466	1.7	2.1	0.789	0.9	5.3	6.2	2.8	1	0.3	1.2	1.9	9.9
118	Jae Crowder\crowdja01	PF	29	MIA	20	8	27.7	4	8.2	0.482	2.9	6.4	0.445	1.1	1.8	0.611	0.655	1.1	1.5	0.733	0.6	4.8	5.4	1.8	1.3	0.5	0.8	2.9	11.9
119	Jarrett Culver\culveja01	SG	20	MIN	63	35	23.9	3.7	9	0.404	1	3.5	0.299	2.6	5.5	0.471	0.462	0.9	1.9	0.462	1.1	2.3	3.4	1.7	0.9	0.6	1.3	2	9.2
120	Seth Curry\curryse01	SG	29	DAL	64	25	24.6	4.4	9	0.495	2.3	5	0.452	2.2	4	0.549	0.621	1.3	1.5	0.825	0.4	1.8	2.3	1.9	0.6	0.1	1	1.8	12.4
121	Stephen Curry\curryst01	PG	31	GSW	5	5	27.8	6.6	16.4	0.402	2.4	9.8	0.245	4.2	6.6	0.636	0.476	5.2	5.2	1	0.8	4.4	5.2	6.6	1	0.4	3.2	2.2	20.8
122	Troy Daniels\danietr01	SG	28	TOT	47	0	11.3	1.5	4	0.387	1	2.8	0.348	0.6	1.1	0.481	0.511	0.2	0.3	0.625	0.3	0.9	1.1	0.4	0.2	0.1	0.3	0.8	4.3
122	Troy Daniels\danietr01	SG	28	LAL	41	0	11.1	1.5	3.9	0.392	1	2.7	0.357	0.5	1.1	0.478	0.519	0.2	0.4	0.625	0.3	0.8	1.1	0.3	0.2	0.1	0.2	0.7	4.2
122	Troy Daniels\danietr01	SG	28	DEN	6	0	12.7	1.7	4.7	0.357	1	3.3	0.3	0.7	1.3	0.5	0.464	0	0		0	1	1	0.5	0.5	0	0.5	1.2	4.3
123	Anthony Davis\davisan02	PF	26	LAL	62	62	34.4	8.9	17.7	0.503	1.2	3.5	0.33	7.7	14.2	0.546	0.536	7.2	8.5	0.846	2.3	7	9.3	3.2	1.5	2.3	2.5	2.5	26.1
124	Ed Davis\davised01	C	30	UTA	28	1	10.8	0.8	1.6	0.478	0	0		0.8	1.6	0.478	0.478	0.3	0.5	0.5	1.3	2.5	3.8	0.4	0.4	0.3	0.5	2.2	1.8
125	Terence Davis\daviste02	SG	22	TOR	72	4	16.8	2.8	6.1	0.456	1.3	3.4	0.388	1.5	2.7	0.541	0.564	0.7	0.8	0.864	0.7	2.6	3.3	1.6	0.5	0.2	1.1	1.7	7.5
126	Dewayne Dedmon\dedmode01	C	30	TOT	44	18	17.6	2.3	5.8	0.4	0.5	2.4	0.206	1.8	3.4	0.541	0.443	0.7	0.8	0.833	1.4	4.3	5.7	0.5	0.6	0.9	1.3	3	5.8
126	Dewayne Dedmon\dedmode01	C	30	SAC	34	10	15.9	2	5	0.404	0.4	2.1	0.197	1.6	2.9	0.55	0.444	0.7	0.8	0.821	1.4	3.6	4.9	0.4	0.4	0.8	1.4	2.7	5.1
126	Dewayne Dedmon\dedmode01	C	30	ATL	10	8	23.3	3.3	8.4	0.393	0.8	3.6	0.222	2.5	4.8	0.521	0.44	0.7	0.8	0.875	1.4	6.8	8.2	0.7	1	1.5	1	4	8.1
127	Matthew Dellavedova\dellama01	PG	29	CLE	57	4	14.4	1.1	3.1	0.354	0.4	1.6	0.231	0.7	1.5	0.488	0.414	0.6	0.6	0.865	0.3	1	1.3	3.2	0.4	0	1	1.4	3.1
128	DeMar DeRozan\derozde01	SF	30	SAS	68	68	34.1	8.2	15.4	0.531	0.1	0.5	0.257	8.1	14.9	0.54	0.535	5.6	6.6	0.845	0.6	4.9	5.5	5.6	1	0.3	2.4	2.6	22.1
129	Cheick Diallo\diallch01	C	23	PHO	47	2	10.2	2	3	0.648	0	0.1	0.333	1.9	3	0.655	0.651	0.7	0.8	0.872	0.6	2.1	2.8	0.5	0.2	0.3	0.7	1.2	4.7
130	Hamidou Diallo\diallha01	SF	21	OKC	46	3	19.5	2.9	6.4	0.446	0.3	1.2	0.281	2.5	5.2	0.485	0.473	0.8	1.4	0.603	1	2.7	3.6	0.8	0.8	0.2	1.1	2.2	6.9
131	Gorgui Dieng\dienggo01	C	30	TOT	63	17	17.4	2.6	5.8	0.456	0.9	2.4	0.355	1.8	3.4	0.528	0.53	1.2	1.6	0.772	1.4	4.2	5.6	1.2	0.8	0.9	1	2	7.4
131	Gorgui Dieng\dienggo01	C	30	MIN	46	17	16.9	2.7	6	0.448	1	2.6	0.383	1.7	3.4	0.497	0.531	1	1.3	0.797	1.6	4	5.6	1.3	0.8	0.9	1	1.9	7.4
131	Gorgui Dieng\dienggo01	C	30	MEM	17	0	18.7	2.5	5.1	0.483	0.5	1.9	0.25	2	3.2	0.618	0.529	1.8	2.5	0.738	1.1	4.7	5.8	0.9	0.8	1	0.9	2.1	7.2
132	Spencer Dinwiddie\dinwisp01	PG	26	BRK	64	49	31.2	6.6	16	0.415	1.9	6.3	0.308	4.7	9.7	0.485	0.476	5.4	7	0.778	0.5	3	3.5	6.8	0.6	0.3	2.7	2.8	20.6
133	Donte DiVincenzo\divindo01	SG	23	MIL	66	24	23	3.5	7.7	0.455	1.3	3.7	0.336	2.3	4	0.567	0.536	1	1.3	0.733	1	3.8	4.8	2.3	1.3	0.3	1.4	1.7	9.2
134	Luka Dončić\doncilu01	PG	20	DAL	61	61	33.6	9.5	20.6	0.463	2.8	8.9	0.316	6.7	11.7	0.574	0.531	7	9.2	0.758	1.3	8.1	9.4	8.8	1	0.2	4.3	2.5	28.8
135	Luguentz Dort\dortlu01	SF	20	OKC	36	28	22.8	2.4	6.1	0.394	0.8	2.8	0.297	1.6	3.3	0.479	0.463	1.2	1.5	0.792	0.7	1.6	2.3	0.8	0.9	0.1	0.6	2.7	6.8
136	Damyean Dotson\dotsoda01	SG	25	NYK	48	0	17.4	2.5	6	0.414	1.2	3.4	0.362	1.3	2.6	0.48	0.516	0.5	0.7	0.667	0.2	1.7	1.9	1.2	0.5	0.1	0.4	0.9	6.7
137	Sekou Doumbouya\doumbse01	PF	19	DET	38	19	19.8	2.4	6.2	0.39	0.7	2.6	0.286	1.7	3.6	0.464	0.449	0.8	1.2	0.674	0.5	2.6	3.1	0.5	0.5	0.2	0.9	2.1	6.4
138	PJ Dozier\doziepj01	SG	23	DEN	29	0	14.2	2.2	5.4	0.414	0.6	1.7	0.347	1.7	3.7	0.444	0.468	0.7	1	0.724	0.3	1.6	1.9	2.2	0.5	0.2	0.9	1.6	5.8
139	Goran Dragić\dragigo01	PG	33	MIA	59	3	28.2	5.4	12.3	0.441	2.1	5.7	0.367	3.3	6.5	0.505	0.526	3.2	4.2	0.776	0.5	2.7	3.2	5.1	0.7	0.2	2.4	2.1	16.2
140	Andre Drummond\drumman01	C	26	TOT	57	56	33	7.3	13.8	0.533	0.1	0.6	0.143	7.2	13.1	0.551	0.536	3	5.2	0.575	4.4	10.8	15.2	2.7	1.9	1.6	3.6	3.5	17.7
140	Andre Drummond\drumman01	C	26	DET	49	48	33.8	7.3	13.9	0.53	0	0.4	0.048	7.3	13.4	0.546	0.531	3	5.2	0.584	4.6	11.2	15.8	2.8	2	1.7	3.6	3.6	17.8
140	Andre Drummond\drumman01	C	26	CLE	8	8	28.1	7.3	13.1	0.552	0.5	1.8	0.286	6.8	11.4	0.593	0.571	2.5	4.9	0.513	3	8.1	11.1	1.8	1.5	1.4	3.6	3.1	17.5
141	Jared Dudley\dudleja01	PF	34	LAL	45	1	8.1	0.5	1.3	0.4	0.4	0.9	0.429	0.1	0.4	0.333	0.55	0	0	1	0.1	1	1.2	0.6	0.3	0.1	0.2	0.9	1.5
142	Kris Dunn\dunnkr01	PG	25	CHI	51	32	24.9	3	6.7	0.444	0.6	2.2	0.259	2.4	4.5	0.535	0.487	0.8	1.1	0.741	0.5	3.2	3.6	3.4	2	0.3	1.3	3.1	7.3
143	Carsen Edwards\edwarca01	SG	21	BOS	37	0	9.5	1.1	3.5	0.328	0.6	2.1	0.316	0.5	1.4	0.346	0.422	0.4	0.5	0.684	0.2	1.1	1.3	0.6	0.3	0.1	0.4	0.9	3.3
144	Henry Ellenson\ellenhe01	C	23	BRK	5	0	3	0.2	1.4	0.143	0	0.8	0	0.2	0.6	0.333	0.143	0	0		0.4	0.8	1.2	0.2	0	0	0	0.2	0.4
145	Wayne Ellington\ellinwa01	SG	32	NYK	36	1	15.5	1.7	4.8	0.351	1.4	4	0.35	0.3	0.9	0.355	0.494	0.3	0.4	0.846	0.1	1.7	1.8	1.2	0.4	0.1	0.5	1.1	5.1
146	Joel Embiid\embiijo01	C	25	PHI	51	51	29.5	7.5	15.7	0.477	1.1	3.4	0.331	6.4	12.3	0.517	0.512	6.9	8.5	0.807	2.8	8.9	11.6	3	0.9	1.3	3.1	3.4	23
147	James Ennis\ennisja01	SF-SG	29	TOT	69	18	18.3	2.3	5.2	0.446	0.8	2.4	0.325	1.5	2.8	0.553	0.522	1.1	1.4	0.806	1	2.5	3.6	0.9	0.5	0.3	0.8	2	6.6
147	James Ennis\ennisja01	SF	29	PHI	49	0	15.8	2	4.6	0.442	0.8	2.2	0.349	1.3	2.4	0.525	0.524	1	1.2	0.787	1	2.1	3.1	0.8	0.5	0.3	0.6	1.7	5.8
147	James Ennis\ennisja01	SG	29	ORL	20	18	24.5	3	6.7	0.451	0.9	3.2	0.286	2.1	3.5	0.6	0.519	1.6	1.9	0.838	1.2	3.6	4.8	1.1	0.6	0.4	1.4	2.6	8.5
148	Drew Eubanks\eubandr01	C	22	SAS	22	3	12.4	2	3	0.642	0	0	1	1.9	3	0.636	0.649	0.9	1.2	0.769	1.3	2.6	3.9	0.7	0.2	0.8	1	1.7	4.9
149	Jacob Evans\evansja02	SG	22	TOT	29	1	14.4	1.6	4.6	0.336	0.4	1.3	0.333	1.1	3.3	0.337	0.384	0.9	1	0.862	0.3	1.1	1.4	1.1	0.4	0.4	0.9	1.4	4.4
149	Jacob Evans\evansja02	SG	22	GSW	27	1	15.3	1.7	4.9	0.338	0.5	1.4	0.342	1.2	3.5	0.337	0.387	0.9	1.1	0.862	0.3	1.2	1.5	1.1	0.4	0.4	0.9	1.5	4.7
149	Jacob Evans\evansja02	SG	22	MIN	2	0	2	0	0.5	0	0	0.5	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0
150	Dante Exum\exumda01	SG	24	TOT	35	1	13.9	1.6	3.4	0.471	0.4	1.2	0.349	1.2	2.2	0.539	0.534	0.9	1.2	0.744	0.3	1.6	1.9	1.1	0.4	0.2	0.9	1.1	4.5
150	Dante Exum\exumda01	SG	24	UTA	11	0	7.5	0.9	2.1	0.435	0.2	0.5	0.333	0.7	1.5	0.471	0.478	0.2	0.2	1	0.3	0.8	1.1	0.6	0.1	0.2	0.9	0.7	2.2
150	Dante Exum\exumda01	SG	24	CLE	24	1	16.8	1.9	4	0.479	0.5	1.5	0.351	1.4	2.5	0.559	0.547	1.3	1.7	0.732	0.4	1.9	2.3	1.4	0.5	0.3	0.9	1.3	5.6
151	Tacko Fall\fallta01	C	24	BOS	7	0	4.7	1.6	2	0.786	0	0		1.6	2	0.786	0.786	0.1	0.4	0.333	0.1	2	2.1	0.1	0.1	0.6	0.4	1	3.3
152	Derrick Favors\favorde01	C	28	NOP	51	49	24.4	4.1	6.6	0.617	0	0.1	0.143	4.1	6.5	0.627	0.618	0.8	1.4	0.563	3.2	6.6	9.8	1.6	0.6	0.9	1.1	2.1	9
153	Cristiano Felício\feliccr01	C	27	CHI	22	0	17.5	1.5	2.5	0.63	0	0.1	0	1.5	2.4	0.654	0.63	0.8	1	0.783	2.5	2.1	4.6	0.7	0.5	0.1	0.8	1.5	3.9
154	Terrance Ferguson\fergute01	SF	21	OKC	56	38	22.4	1.4	3.9	0.355	0.9	3	0.292	0.5	0.9	0.558	0.466	0.3	0.4	0.75	0.4	0.9	1.3	0.9	0.5	0.3	0.6	2.8	3.9
155	Bruno Fernando\fernabr01	C	21	ATL	56	13	12.7	1.8	3.6	0.518	0.1	0.7	0.135	1.8	2.9	0.605	0.53	0.5	0.9	0.569	1.2	2.3	3.5	0.9	0.3	0.3	0.8	1.9	4.3
156	Yogi Ferrell\ferreyo01	PG	26	SAC	50	0	10.6	1.6	3.8	0.42	0.5	1.6	0.304	1.1	2.2	0.505	0.484	0.7	0.8	0.857	0.1	0.9	1	1.4	0.4	0.1	0.6	0.8	4.4
157	Dorian Finney-Smith\finnedo01	PF	26	DAL	71	68	29.9	3.4	7.4	0.466	1.6	4.3	0.376	1.8	3.1	0.589	0.575	1.1	1.5	0.722	2	3.7	5.7	1.6	0.6	0.5	1	2.5	9.5
158	Bryn Forbes\forbebr01	SG	26	SAS	63	62	25.1	3.8	9.2	0.417	2.3	6	0.388	1.5	3.2	0.47	0.544	1.2	1.4	0.833	0.2	1.8	2	1.7	0.5	0	0.9	1.8	11.2
159	Evan Fournier\fournev01	SF	27	ORL	66	66	31.5	6.6	14.1	0.467	2.6	6.6	0.399	4	7.5	0.527	0.56	2.7	3.3	0.818	0.3	2.3	2.6	3.2	1.1	0.2	1.9	2.4	18.5
160	De'Aaron Fox\foxde01	PG	22	SAC	51	49	32	7.7	16	0.48	1.1	3.6	0.292	6.6	12.4	0.535	0.513	4.7	6.7	0.705	0.7	3.2	3.8	6.8	1.5	0.5	3.1	2.8	21.1
161	Melvin Frazier\frazime01	SG	23	ORL	19	0	6.6	0.8	1.8	0.441	0.4	0.8	0.5	0.4	0.9	0.389	0.559	0.1	0.2	0.5	0.1	0.4	0.5	0.2	0.5	0.1	0.3	0.6	2.1
162	Michael Frazier\frazimi01	SG	25	HOU	13	0	11.2	0.5	2.2	0.241	0.3	1.8	0.174	0.2	0.5	0.5	0.31	0.7	1.1	0.643	0.1	0.7	0.8	0.2	0.2	0	0.4	1.7	2.1
163	Tim Frazier\fraziti01	PG	29	DET	27	11	13.1	1.3	3.5	0.362	0.4	1.1	0.333	0.9	2.4	0.375	0.415	0.7	0.9	0.792	0.3	0.9	1.2	3.4	0.5	0.1	1.3	1.6	3.6
164	Markelle Fultz\fultzma01	PG	21	ORL	72	60	27.7	5	10.7	0.465	0.5	1.9	0.267	4.5	8.8	0.507	0.488	1.6	2.2	0.73	0.6	2.7	3.3	5.1	1.3	0.2	2	2	12.1
165	Wenyen Gabriel\gabriwe01	PF	22	TOT	30	1	7.8	0.7	1.6	0.438	0.2	0.7	0.3	0.5	0.9	0.536	0.5	0.5	0.7	0.682	0.7	1	1.7	0.3	0.4	0.2	0.5	1.3	2.1
